,调度子区内调度需求不平衡度,调度子区内离散度,调度子区间离散度,调度子区内站点数量不平衡度,模块度
动态调度量_08_Louvain_60,24.0,8.009778145130955,17.47879068219439,10.25,0.4279382017051935
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Louvain_60,21.0,8.001336690507076,17.114719478744448,15.75,0.4166480052499486
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Louvain_60,43.0,7.982506529518986,17.395017616754316,10.25,0.4325298206572318
动态调度量_08_Louvain_60,55.5,7.9754939711798265,17.38363265540177,10.25,0.43367089648216894
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Louvain_60,18.0,7.979158674477144,17.277369499346847,13.75,0.4227504721520721
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Louvain_60,32.0,7.919906849414469,17.155279506999623,16.25,0.42462242363324487
动态调度量_08_Louvain_60,55.5,7.9754939711798265,17.38363265540177,10.25,0.43367089648216894
动态调度量_08_Louvain_60,52.0,8.037909980546372,17.48553371236196,8.75,0.4270886389068045
动态调度量_08_Louvain_60,15.5,7.929609495613842,17.197757839423975,15.25,0.42262761880791444
动态调度量_08_Louvain_60,41.0,7.974973610031142,17.412752121385648,10.25,0.43333537110471126
动态调度量_08_Louvain_60,32.0,7.920814097961182,17.184636322364067,15.75,0.4249198704456422
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Louvain_60,50.5,7.9340213502382575,17.114712621207676,14.75,0.4286506073301588
动态调度量_08_Louvain_60,24.0,8.009778145130955,17.47879068219439,10.25,0.4279382017051935
动态调度量_08_Louvain_60,46.5,7.946662387049372,17.092915494594717,17.75,0.4209636547553706
动态调度量_08_Louvain_60,32.0,7.991688059732676,17.2872327716628,13.75,0.4228698005232245
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Infomap_60,41.0,7.966180750243566,17.414787649203376,10.25,0.43333537110471126
动态调度量_08_Louvain_60,213.0,8.128892857148418,17.781302682747462,9.5,0.41857744388063556
动态调度量_08_Louvain_60,206.0,10.215793063906837,21.213393554195566,4.666666666666667,0.41422724983482084
动态调度量_08_Louvain_60,213.0,8.132652891060921,17.7616723182161,6.5,0.42991321754305467
