,0,rank,ID,e
0,0.03209406134660152,47.0,11002,11.743493924788268
1,0.021612446887939285,53.0,11009,10.550323485297126
2,0.027745222812290374,50.0,11011,11.130932564441212
3,0.2898684010280156,21.0,11012,18.682459574322223
4,0.3479360660970264,17.0,11018,20.065735610504404
5,0.051711473375893366,38.0,11021,13.790964956153896
6,0.7650844036955406,3.0,11024,25.76491452842397
7,0.015283338887935486,54.0,11028,10.363597014146661
8,0.0901497801041708,29.0,11030,16.195411317956122
9,0.0,56.0,11035,10.0
10,0.3217915660755111,19.0,11101,19.36174822613615
11,0.4095327215036637,15.0,11102,20.795319765967974
12,0.025863449540741514,52.0,11104,10.740414307162958
13,0.3663579735051256,16.0,11126,20.42727070266142
14,0.4931653227669296,11.0,11127,22.33503499364311
15,0.05104525194540856,39.0,11130,13.546883509399109
16,0.0040357090797538825,55.0,11271,10.180175349249472
17,0.2521081490308012,23.0,13005,18.027003123355755
18,0.051005414901147,40.0,13009,13.3071219744735
19,0.06479834760689236,33.0,13013,15.078944680146218
20,0.5853095404417012,7.0,13017,23.98875293967098
21,0.48458009476743147,12.0,13025,21.939735051115544
22,0.03893214717641786,45.0,13062,12.170483857458516
23,0.7812540778109549,2.0,13094,26.229134775778125
24,0.41943817730235533,14.0,13095,21.170000166126748
25,0.5979473509327349,6.0,13097,24.42097113356743
26,0.24489358112757648,25.0,13098,17.394542742976483
27,0.3324771031590072,18.0,15001,19.710599201008595
28,0.3069449894089661,20.0,15003,19.019071442186487
29,0.26499745943611785,22.0,15007,18.35180528172295
30,0.06795585507767274,32.0,15009,15.3506300925521
31,0.08654443766071342,30.0,15012,15.908774419244283
32,0.18410356899355348,26.0,15023,17.086682838187937
33,0.538068850820508,9.0,15029,23.147130197098093
34,0.6336619903020941,4.0,15031,25.308910352240122
35,0.04448105148927194,41.0,15035,13.071603894774329
36,0.05681052022503456,35.0,15037,14.549914146182012
37,0.036891372803393545,46.0,15038,11.955082736719048
38,0.030542316085498986,48.0,15042,11.535649948951079
39,0.17892689838908343,27.0,15045,16.78427163776471
40,0.05586891443511263,36.0,15047,14.292400324179777
41,0.24877277431275355,24.0,15048,17.707949524351548
42,0.504076136673632,10.0,15056,22.73745726669099
43,0.02655251804851987,51.0,15057,10.93393009705067
44,0.04235020778943067,43.0,15061,12.61299901658772
45,0.09133801372766671,28.0,15062,16.487212707001284
46,0.8393869145783485,1.0,15067,26.701719127651856
47,0.04147628163816911,44.0,15068,12.38976597541378
48,0.029430619134023926,49.0,15070,11.331484530668263
49,0.5412666740136765,8.0,15075,23.564184423836608
50,0.6219972602595216,5.0,15077,24.86097683386761
51,0.46980152857672247,13.0,15088,21.55143138348107
52,0.04322024754498957,42.0,15100,12.840254166877415
53,0.05411416952494851,37.0,15120,14.039444148900124
54,0.05826301585817718,34.0,15143,14.812067732465833
55,0.06824623459779863,31.0,15144,15.627210606364601
